"Country Name","Film Category","Number OF Rentals"
"Afghanistan","New",2
"Algeria","Horror",2
"American Samoa","Comedy",2
"Angola","Sports",2
"Anguilla","Classics",2
"Anguilla","New",2
"Armenia","Action",2
"Armenia","Documentary",2
"Armenia","Family",2
"Armenia","Sports",2
"Austria","Foreign",2
"Austria","Games",2
"Bahrain","Travel",2
"Bangladesh","Children",2
"Belarus","Children",2
"Belarus","Documentary",2
"Belarus","Foreign",2
"Belarus","Music",2
"Brunei","Action",2
"Brunei","Classics",2
"Brunei","Horror",2
"Brunei","Sci-Fi",2
"Bulgaria","Action",2
"Bulgaria","Travel",2
"Cambodia","Horror",2
"Cambodia","Music",2
"Cambodia","New",2
"Cameroon","Sci-Fi",2
"Cameroon","Travel",2
"Chad","Action",2
"Chad","Horror",2
"Chad","Music",2
"Chile","Horror",2
"Congo, The Democratic Republic of the","Documentary",2
"Congo, The Democratic Republic of the","Music",2
"Congo, The Democratic Republic of the","Sci-Fi",2
"Czech Republic","Family",2
"Czech Republic","Foreign",2
"Czech Republic","Games",2
"Czech Republic","Horror",2
"Czech Republic","Music",2
"Czech Republic","Travel",2
"Dominican Republic","Animation",2
"Dominican Republic","Children",2
"Dominican Republic","Classics",2
"Ecuador","Classics",2
"Estonia","Action",2
"Estonia","Comedy",2
"Estonia","Foreign",2
"Estonia","Games",2
"Estonia","Horror",2
"Estonia","Sci-Fi",2
"Estonia","Travel",2
"Ethiopia","Children",2
"Ethiopia","Classics",2
"Ethiopia","Drama",2
"Ethiopia","Games",2
"Ethiopia","Sports",2
"Faroe Islands","Comedy",2
"Finland","Animation",2
"Finland","Children",2
"Finland","Comedy",2
"Finland","New",2
"Finland","Sci-Fi",2
"Finland","Travel",2
"French Guiana","Comedy",2
"French Guiana","Foreign",2
"French Guiana","Travel",2
"French Polynesia","Children",2
"French Polynesia","Drama",2
"Gambia","Animation",2
"Gambia","Documentary",2
"Gambia","Foreign",2
"Gambia","Games",2
"Gambia","New",2
"Gambia","Sci-Fi",2
"Gambia","Travel",2
"Greece","Documentary",2
"Greece","Foreign",2
"Greenland","Action",2
"Greenland","Comedy",2
"Greenland","Documentary",2
"Greenland","Drama",2
"Greenland","Family",2
"Greenland","Foreign",2
"Greenland","Horror",2
"Greenland","Music",2
"Greenland","Travel",2
"Holy See (Vatican City State)","Children",2
"Holy See (Vatican City State)","Classics",2
"Holy See (Vatican City State)","Music",2
"Holy See (Vatican City State)","Sci-Fi",2
"Hong Kong","Action",2
"Hong Kong","Children",2
"Hong Kong","Classics",2
"Hong Kong","Sci-Fi",2
"Hungary","Classics",2
"Hungary","Comedy",2
"Hungary","Documentary",2
"Hungary","New",2
"Iraq","Action",2
"Iraq","Documentary",2
"Iraq","Family",2
"Iraq","Foreign",2
"Iraq","New",2
"Israel","Music",2
"Kazakstan","Foreign",2
"Kazakstan","New",2
"Kenya","Classics",2
"Kenya","Horror",2
"Kuwait","Children",2
"Kuwait","Comedy",2
"Kuwait","Documentary",2
"Kuwait","Family",2
"Kuwait","Games",2
"Kuwait","Music",2
"Kuwait","Sports",2
"Latvia","Horror",2
"Latvia","Music",2
"Liechtenstein","Documentary",2
"Liechtenstein","Family",2
"Liechtenstein","Horror",2
"Liechtenstein","Sports",2
"Lithuania","Animation",2
"Lithuania","Classics",2
"Lithuania","Documentary",2
"Lithuania","Foreign",2
"Lithuania","Music",2
"Lithuania","New",2
"Lithuania","Sports",2
"Lithuania","Travel",2
"Madagascar","Comedy",2
"Madagascar","Documentary",2
"Madagascar","Games",2
"Madagascar","New",2
"Madagascar","Sci-Fi",2
"Malawi","Children",2
"Malawi","Comedy",2
"Malawi","Documentary",2
"Malawi","Family",2
"Moldova","Animation",2
"Moldova","Documentary",2
"Moldova","Drama",2
"Moldova","New",2
"Moldova","Travel",2
"Morocco","Drama",2
"Mozambique","Animation",2
"Mozambique","Classics",2
"Myanmar","Animation",2
"Myanmar","Children",2
"Myanmar","Documentary",2
"Myanmar","Foreign",2
"Myanmar","Games",2
"Nauru","Children",2
"Nauru","Family",2
"Nauru","Music",2
"Nauru","Sci-Fi",2
"Nauru","Travel",2
"Nepal","Classics",2
"Nepal","Comedy",2
"Nepal","Horror",2
"Nepal","Sports",2
"Nepal","Travel",2
"New Zealand","Horror",2
"New Zealand","New",2
"New Zealand","Sci-Fi",2
"New Zealand","Travel",2
"North Korea","Children",2
"North Korea","Comedy",2
"North Korea","Family",2
"North Korea","Foreign",2
"North Korea","Games",2
"North Korea","Sports",2
"Oman","Action",2
"Oman","Children",2
"Oman","Sports",2
"Paraguay","Action",2
"Puerto Rico","Classics",2
"Puerto Rico","Documentary",2
"Puerto Rico","Family",2
"Romania","Documentary",2
"Romania","Drama",2
"Romania","Family",2
"Runion","Comedy",2
"Runion","New",2
"Saint Vincent and the Grenadines","Action",2
"Saint Vincent and the Grenadines","Comedy",2
"Saint Vincent and the Grenadines","Drama",2
"Saint Vincent and the Grenadines","Games",2
"Saint Vincent and the Grenadines","Music",2
"Senegal","Classics",2
"Senegal","Drama",2
"Senegal","Family",2
"Senegal","Games",2
"Senegal","Music",2
"Senegal","New",2
"Slovakia","Games",2
"Slovakia","Sci-Fi",2
"Slovakia","Sports",2
"Sri Lanka","Drama",2
"Sri Lanka","Sports",2
"Sudan","Animation",2
"Sudan","Documentary",2
"Sweden","Comedy",2
"Sweden","Horror",2
"Sweden","Travel",2
"Switzerland","Children",2
"Tonga","Documentary",2
"Tonga","Foreign",2
"Tonga","Music",2
"Tonga","New",2
"Tunisia","Animation",2
"Tunisia","Children",2
"Tunisia","Documentary",2
"Tunisia","Drama",2
"Tunisia","Music",2
"Turkmenistan","Action",2
"Turkmenistan","Classics",2
"Turkmenistan","Drama",2
"Turkmenistan","Foreign",2
"Turkmenistan","Sports",2
"Turkmenistan","Travel",2
"Tuvalu","Action",2
"Tuvalu","Animation",2
"Tuvalu","Comedy",2
"Tuvalu","Travel",2
"United Arab Emirates","Horror",2
"Virgin Islands, U.S.","Children",2
"Virgin Islands, U.S.","Horror",2
"Virgin Islands, U.S.","Music",2
"Yugoslavia","Comedy",2
"Yugoslavia","Documentary",2
"Yugoslavia","Music",2
"Zambia","Action",2
"Zambia","Classics",2
"Zambia","Family",2
"Zambia","Foreign",2
"Zambia","Horror",2
"Zambia","Music",2
"Afghanistan","Action",1
"Afghanistan","Animation",1
"Afghanistan","Children",1
"Afghanistan","Foreign",1
"Afghanistan","Games",1
"Afghanistan","Sci-Fi",1
"Afghanistan","Travel",1
"American Samoa","Action",1
"American Samoa","Animation",1
"American Samoa","Children",1
"American Samoa","Classics",1
"American Samoa","Drama",1
"American Samoa","Foreign",1
"American Samoa","Games",1
"American Samoa","Horror",1
"American Samoa","Music",1
"American Samoa","Sci-Fi",1
"Angola","Documentary",1
"Angola","Drama",1
"Angola","Family",1
"Angola","Games",1
"Angola","Travel",1
"Anguilla","Action",1
"Anguilla","Comedy",1
"Anguilla","Documentary",1
"Armenia","Comedy",1
"Armenia","Drama",1
"Armenia","Music",1
"Austria","Horror",1
"Austria","Music",1
"Azerbaijan","Classics",1
"Azerbaijan","Documentary",1
"Azerbaijan","Travel",1
"Bahrain","Classics",1
"Bahrain","Documentary",1
"Bahrain","Drama",1
"Bahrain","Foreign",1
"Bahrain","Games",1
"Bahrain","New",1
"Bolivia","Drama",1
"Bolivia","Games",1
"Bolivia","Horror",1
"Bolivia","Travel",1
"Brunei","Animation",1
"Brunei","Family",1
"Brunei","Games",1
"Brunei","Music",1
"Brunei","New",1
"Bulgaria","Games",1
"Bulgaria","Horror",1
"Cambodia","Comedy",1
"Cambodia","Drama",1
"Cameroon","Comedy",1
"Cameroon","Drama",1
"Chad","Children",1
"Chad","Classics",1
"Chad","Comedy",1
"Chad","Family",1
"Chad","New",1
"Chad","Travel",1
"Chile","Documentary",1
"Congo, The Democratic Republic of the","Animation",1
"Congo, The Democratic Republic of the","New",1
"Congo, The Democratic Republic of the","Sports",1
"Czech Republic","Action",1
"Czech Republic","Classics",1
"Czech Republic","Drama",1
"Estonia","Animation",1
"Estonia","Children",1
"Estonia","Documentary",1
"Estonia","Drama",1
"Estonia","Music",1
"Estonia","New",1
"Ethiopia","Comedy",1
"Ethiopia","Documentary",1
"Ethiopia","Foreign",1
"Ethiopia","Music",1
"Ethiopia","New",1
"Ethiopia","Sci-Fi",1
"Ethiopia","Travel",1
"Faroe Islands","Action",1
"Faroe Islands","Children",1
"Faroe Islands","Documentary",1
"Faroe Islands","Games",1
"Faroe Islands","Music",1
"Faroe Islands","New",1
"Faroe Islands","Travel",1
"Finland","Classics",1
"France","Documentary",1
"France","Games",1
"French Guiana","Documentary",1
"French Guiana","Family",1
"French Guiana","Horror",1
"French Guiana","Music",1
"French Guiana","Sci-Fi",1
"French Guiana","Sports",1
"French Polynesia","Animation",1
"French Polynesia","Horror",1
"Gambia","Children",1
"Gambia","Classics",1
"Gambia","Horror",1
"Gambia","Music",1
"Greenland","Animation",1
"Greenland","Sci-Fi",1
"Holy See (Vatican City State)","Comedy",1
"Holy See (Vatican City State)","Family",1
"Holy See (Vatican City State)","Horror",1
"Holy See (Vatican City State)","Travel",1
"Hong Kong","Animation",1
"Hong Kong","Comedy",1
"Hong Kong","Drama",1
"Hong Kong","Music",1
"Hong Kong","New",1
"Hungary","Action",1
"Hungary","Drama",1
"Hungary","Games",1
"Hungary","Music",1
"Iraq","Classics",1
"Iraq","Drama",1
"Iraq","Horror",1
"Iraq","Sci-Fi",1
"Iraq","Travel",1
"Kazakstan","Classics",1
"Kazakstan","Games",1
"Kazakstan","Sci-Fi",1
"Kenya","Drama",1
"Kenya","Sci-Fi",1
"Kuwait","Action",1
"Kuwait","Animation",1
"Kuwait","Drama",1
"Kuwait","New",1
"Latvia","Documentary",1
"Latvia","Family",1
"Liechtenstein","Children",1
"Liechtenstein","Comedy",1
"Liechtenstein","New",1
"Lithuania","Comedy",1
"Lithuania","Drama",1
"Lithuania","Family",1
"Lithuania","Horror",1
"Lithuania","Sci-Fi",1
"Madagascar","Animation",1
"Madagascar","Foreign",1
"Malawi","Animation",1
"Malawi","Drama",1
"Malawi","Foreign",1
"Malawi","Horror",1
"Malawi","New",1
"Malawi","Travel",1
"Malaysia","New",1
"Moldova","Comedy",1
"Moldova","Horror",1
"Moldova","Music",1
"Moldova","Sci-Fi",1
"Morocco","New",1
"Morocco","Travel",1
"Mozambique","Comedy",1
"Mozambique","Drama",1
"Myanmar","Classics",1
"Myanmar","Music",1
"Nauru","Action",1
"Nauru","Classics",1
"Nauru","Foreign",1
"Nauru","New",1
"Nepal","Action",1
"Nepal","Animation",1
"Nepal","Drama",1
"Nepal","Family",1
"Nepal","Games",1
"Nepal","Music",1
"New Zealand","Action",1
"New Zealand","Animation",1
"New Zealand","Children",1
"New Zealand","Documentary",1
"New Zealand","Foreign",1
"North Korea","Action",1
"North Korea","Horror",1
"North Korea","New",1
"North Korea","Sci-Fi",1
"North Korea","Travel",1
"Oman","Music",1
"Paraguay","Children",1
"Paraguay","Drama",1
"Romania","Travel",1
"Runion","Drama",1
"Runion","Music",1
"Runion","Sports",1
"Saint Vincent and the Grenadines","Animation",1
"Saint Vincent and the Grenadines","Family",1
"Saint Vincent and the Grenadines","Foreign",1
"Saint Vincent and the Grenadines","Sci-Fi",1
"Saint Vincent and the Grenadines","Travel",1
"Saudi Arabia","Drama",1
"Senegal","Action",1
"Senegal","Documentary",1
"Senegal","Foreign",1
"Senegal","Sports",1
"Slovakia","Animation",1
"Slovakia","Classics",1
"Slovakia","Horror",1
"Sri Lanka","Animation",1
"Sri Lanka","Documentary",1
"Sri Lanka","New",1
"Sudan","New",1
"Sudan","Sports",1
"Sweden","Animation",1
"Sweden","Children",1
"Sweden","Music",1
"Sweden","New",1
"Sweden","Sports",1
"Switzerland","Horror",1
"Switzerland","Music",1
"Tanzania","Foreign",1
"Tonga","Animation",1
"Tonga","Comedy",1
"Tonga","Drama",1
"Tonga","Family",1
"Tonga","Horror",1
"Tonga","Sci-Fi",1
"Tunisia","Games",1
"Tunisia","Horror",1
"Tunisia","New",1
"Turkmenistan","Animation",1
"Turkmenistan","Children",1
"Turkmenistan","Comedy",1
"Turkmenistan","Horror",1
"Tuvalu","New",1
"United Arab Emirates","Animation",1
"United Arab Emirates","Comedy",1
"Virgin Islands, U.S.","Action",1
"Virgin Islands, U.S.","Foreign",1
"Virgin Islands, U.S.","Sci-Fi",1
"Virgin Islands, U.S.","Sports",1
"Yugoslavia","Classics",1
"Zambia","Children",1
"Zambia","Sci-Fi",1
"Zambia","Sports",1
"Zambia","Travel",1
