"Film Name","Film Length","Length Category"
"Spoilers Hellfighters",151,"Long"
"Spy Mile",112,"Medium"
"Squad Fish",136,"Long"
"Stage World",85,"Short"
"Stagecoach Armageddon",112,"Medium"
"Stallion Sundance",130,"Long"
"Stampede Disturbing",75,"Short"
"Star Operation",181,"Long"
"State Wasteland",113,"Medium"
"Steel Santa",143,"Long"
"Steers Armageddon",140,"Long"
"Stepmom Dream",48,"Short"
"Sting Personal",93,"Medium"
"Stock Glass",160,"Long"
"Stone Fire",94,"Medium"
"Storm Happiness",57,"Short"
"Story Side",163,"Long"
"Straight Hours",151,"Long"
"Strangelove Desire",103,"Medium"
"Stranger Strangers",139,"Long"
"Tights Dawn",172,"Long"
"Strangers Graffiti",119,"Medium"
"Streak Ridgemont",132,"Long"
"Streetcar Intentions",73,"Short"
"Strictly Scarface",144,"Long"
"Submarine Bed",127,"Long"
"Sugar Wonka",114,"Medium"
"Suicides Silence",93,"Medium"
"Suit Walls",111,"Medium"
"Summer Scarface",53,"Short"
"Sun Confessions",141,"Long"
"Sundance Invasion",92,"Medium"
"Sunrise League",135,"Long"
"Sunset Racer",48,"Short"
"Super Wyoming",58,"Short"
"Superfly Trip",114,"Medium"
"Suspects Quills",47,"Short"
"Swarm Gold",123,"Long"
"Sweden Shining",176,"Long"
"Timberland Sky",69,"Short"
"Sweet Brotherhood",185,"Long"
"Sweethearts Suspects",108,"Medium"
"Tadpole Park",155,"Long"
"Talented Homicide",173,"Long"
"Tarzan Videotape",91,"Medium"
"Taxi Kick",64,"Short"
"Teen Apollo",74,"Short"
"Telegraph Voyage",148,"Long"
"Telemark Heartbreakers",152,"Long"
"Temple Attraction",71,"Short"
"Tenenbaums Command",99,"Medium"
"Tequila Past",53,"Short"
"Terminator Club",88,"Short"
"Texas Watch",179,"Long"
"Theory Mermaid",184,"Long"
"Thief Pelican",135,"Long"
"Thin Sagebrush",53,"Short"
"Ties Hunger",111,"Medium"
"Titanic Boondock",104,"Medium"
"Titans Jerk",91,"Medium"
"Tomatoes Hellfighters",68,"Short"
"Tomorrow Hustler",142,"Long"
"Tootsie Pilot",157,"Long"
"Torque Bound",179,"Long"
"Tourist Pelican",152,"Long"
"Towers Hurricane",144,"Long"
"Town Ark",136,"Long"
"Tracy Cider",142,"Long"
"Trading Pinocchio",170,"Long"
"Traffic Hobbit",139,"Long"
"Train Bunch",71,"Short"
"Trainspotting Strangers",132,"Long"
"Tramp Others",171,"Long"
"Translation Summer",168,"Long"
"Trap Guys",110,"Medium"
"Treasure Command",102,"Medium"
"Treatment Jekyll",87,"Short"
"Trip Newton",64,"Short"
"Trojan Tomorrow",52,"Short"
"Troopers Metal",115,"Medium"
"Trouble Date",61,"Short"
"Truman Crazy",92,"Medium"
"Turn Star",80,"Short"
"Tuxedo Mile",152,"Long"
"Twisted Pirates",152,"Long"
"Tycoon Gathering",82,"Short"
"Unbreakable Karate",62,"Short"
"Uncut Suicides",172,"Long"
"Undefeated Dalmations",107,"Medium"
"Unfaithful Kill",78,"Short"
"Unforgiven Zoolander",129,"Long"
"United Pilot",164,"Long"
"Untouchables Sunrise",120,"Medium"
"Uprising Uptown",174,"Long"
"Uptown Young",84,"Short"
"Usual Untouchables",128,"Long"
"Vacation Boondock",145,"Long"
"Valentine Vanishing",48,"Short"
"Valley Packer",73,"Short"
"Vampire Whale",126,"Long"
"Vanilla Day",122,"Long"
"Vanished Garden",142,"Long"
"Vanishing Rocky",123,"Long"
"Varsity Trip",85,"Short"
"Velvet Terminator",173,"Long"
"Vertigo Northwest",90,"Short"
"Victory Academy",64,"Short"
"Videotape Arsenic",145,"Long"
"Vietnam Smoochy",174,"Long"
"Villain Desperate",76,"Short"
"Virgin Daisy",179,"Long"
"Virginian Pluto",164,"Long"
"Virtual Spoilers",144,"Long"
"Vision Torque",59,"Short"
"Voice Peach",139,"Long"
"Volcano Texas",157,"Long"
"Volume House",132,"Long"
"Voyage Legally",78,"Short"
"Wagon Jaws",152,"Long"
"Wait Cider",112,"Medium"
"Wake Jaws",73,"Short"
"Walls Artist",135,"Long"
"Wanda Chamber",107,"Medium"
"War Notting",80,"Short"
"Wardrobe Phantom",178,"Long"
"Warlock Werewolf",83,"Short"
"Wars Pluto",128,"Long"
"Wash Heavenly",161,"Long"
"Wasteland Divine",85,"Short"
"Watch Tracy",78,"Short"
"Waterfront Deliverance",61,"Short"
"Watership Frontier",112,"Medium"
"Wedding Apollo",70,"Short"
"Weekend Personal",134,"Long"
"Werewolf Lola",79,"Short"
"West Lion",159,"Long"
"Westward Seabiscuit",52,"Short"
"Whale Bikini",109,"Medium"
"Whisperer Giant",59,"Short"
"Wife Turn",183,"Long"
"Wild Apollo",181,"Long"
"Willow Tracy",137,"Long"
"Wind Phantom",111,"Medium"
"Window Side",85,"Short"
"Wisdom Worker",98,"Medium"
"Witches Panic",100,"Medium"
"Wizard Coldblooded",75,"Short"
"Wolves Desire",55,"Short"
"Women Dorado",126,"Long"
"Won Dares",105,"Medium"
"Wonderful Drop",126,"Long"
"Wonderland Christmas",111,"Medium"
"Wonka Sea",85,"Short"
"Words Hunter",116,"Medium"
"Worker Tarzan",139,"Long"
"Working Microcosmos",74,"Short"
"World Leathernecks",171,"Long"
"Worst Banger",185,"Long"
"Wrath Mile",176,"Long"
"Wrong Behavior",178,"Long"
"Wyoming Storm",100,"Medium"
"Yentl Idaho",86,"Short"
"Young Language",183,"Long"
"Youth Kick",179,"Long"
"Zhivago Core",105,"Medium"
"Zoolander Fiction",101,"Medium"
"Zorro Ark",50,"Short"
